Estado civil,Nacionalidade,Migração,Sexo,Idade na matrícula,Estrangeiro,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Necessidades educacionais especiais,Devedor,Taxas de matrícula em dia,Bolsista,Taxa de desemprego,Taxa de inflação,PIB,Modo de inscrição,Ordem de inscrição,Curso,Período,Qualificação prévia,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (avaliações),disciplinas 1º semestre (aprovadas),disciplinas 1º semestre (notas),disciplinas 1º semestre (sem avaliações),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (avaliações),disciplinas 2º semestre (aprovadas),disciplinas 2º semestre (notas),disciplinas 2º semestre (sem avaliações),Target
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores de Limpeza,"Trabalhadores de processamento de alimentos, marcenaria, vestuário e outras indústrias e ofícios",Não,Sim,Sim,Não,8.9,1.4,3.51,17,5,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,6,5,11.6,0,0,6,6,6,12.5,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Outro - 11º ano de escolaridade,Educação Secundária,Trabalhadores Não Qualificados,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Sim,12.4,0.5,1.79,17,1,Turismo,Diurno,Educação secundária,0,6,9,5,11.4,0,0,6,6,6,11.333333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Secundária,Educação Secundária,Técnicos de Nível Intermediário e Profissões Técnicas,Trabalhadores Não Qualificados,Não,Não,Sim,Não,16.2,0.3,-0.92,1,1,Zootecnia,Diurno,Educação secundária,0,6,11,6,13.333333333333334,0,0,6,10,6,13.0,0,Matriculado
Solteiro,Portuguesa,Não,Feminino,22,Não,Outro - 11º ano de escolaridade,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,Trabalhadores Não Qualificados,Não,Sim,Sim,Sim,12.4,0.5,1.79,44,1,Design de Comunicação,Diurno,Curso de especialização tecnológica,2,7,7,7,13.571428571428571,0,5,9,9,9,13.77777777777778,0,Graduado
Casado,Portuguesa,Não,Feminino,31,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,12.4,0.5,1.79,39,1,Odontologia,Diurno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,0,7,13,6,11.833333333333334,0,0,7,8,7,12.228571428571428,0,Graduado
Solteiro,Portuguesa,Não,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Sim,16.2,0.3,-0.92,17,1,Educação Básica,Diurno,Educação secundária,0,7,7,7,14.428571428571429,0,0,7,7,7,14.142857142857142,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação Superior - Bacharel,Técnicos de Nível Intermediário e Profissões Técnicas,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,12.4,0.5,1.79,1,2,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,8.9,1.4,3.51,1,2,Turismo,Diurno,Educação secundária,0,6,8,6,12.285714285714286,0,0,6,9,5,12.4,0,Graduado
Solteiro,Portuguesa,Não,Feminino,21,Não,Outro - 11º ano de escolaridade,Educação Secundária,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Executivos",Outra Situação,Não,Não,Sim,Não,7.6,2.6,0.32,1,1,Enfermagem Veterinária,Diurno,Educação secundária,0,5,7,5,14.4,0,0,5,5,5,13.8,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,13.9,-0.3,0.79,17,5,Enfermagem,Diurno,Educação secundária,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,Graduado
Solteiro,Cabo-verdiana,Não,Masculino,25,Sim,Educação Superior - Licenciatura,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Especialistas em Atividades Intelectuais e Científicas,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Sim,Não,Não,15.5,2.8,-4.06,44,1,Gestão,Diurno,Curso de especialização tecnológica,0,5,6,0,0.0,0,0,5,5,0,0.0,0,Desistente
Solteiro,Brasileira,Não,Masculino,21,Sim,Educação Secundária,Educação Superior - Bacharel,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Sim,Sim,Não,11.1,0.6,2.02,15,1,Engenharia da computação,Diurno,Educação secundária,0,5,5,0,0.0,0,0,6,8,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Sim,10.8,1.4,1.74,18,2,Enfermagem,Diurno,Educação secundária,0,8,8,7,12.342857142857143,0,0,8,8,7,12.342857142857143,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,10.8,1.4,1.74,1,2,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,6,5,12.2,0,0,6,7,5,10.8,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,22,Não,7º ano (Antigo),Desconhecido,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Estudante,Não,Não,Sim,Não,7.6,2.6,0.32,17,1,Turismo,Diurno,Educação secundária,0,6,10,4,10.5,0,0,6,14,1,11.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,19,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Gerentes Executivos",Não,Não,Sim,Não,12.4,0.5,1.79,15,1,Gestão,Diurno,Educação secundária,0,5,5,5,10.6,0,0,5,8,5,11.6,0,Graduado
Solteiro,Portuguesa,Não,Feminino,58,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,11.1,0.6,2.02,39,1,Serviço Social (noturno),Noturno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,0,6,6,0,0.0,0,0,6,6,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,10.8,1.4,1.74,16,2,Serviço Social,Diurno,Educação secundária,0,6,8,4,11.25,0,0,6,6,6,12.0,0,Graduado
Solteiro,Cabo-verdiana,Sim,Masculino,23,Sim,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,9.4,-0.8,-3.12,43,1,Gestão de Publicidade e Marketing,Diurno,Educação secundária,3,9,11,6,10.5,0,4,10,10,10,11.7,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,9.4,-0.8,-3.12,1,2,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,11,4,11.0,0,0,6,11,3,11.666666666666666,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Secundária,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,13.9,-0.3,0.79,18,3,Enfermagem,Diurno,Educação secundária,0,7,7,7,13.457142857142856,0,0,8,8,8,14.5125,0,Graduado
Solteiro,Portuguesa,Não,Feminino,20,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Outras Situações,Outra Situação,Não,Não,Sim,Não,7.6,2.6,0.32,1,2,Enfermagem Veterinária,Diurno,Educação secundária,0,5,6,5,12.6,0,0,5,8,4,12.333333333333334,0,Graduado
Solteiro,Portuguesa,Não,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Outras Situações,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Não,Não,12.7,3.7,-1.7,17,5,Enfermagem Veterinária,Diurno,Educação secundária,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Feminino,18,Não,Educação Superior - Bacharel,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,8.9,1.4,3.51,17,1,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,6,6,6,13.666666666666666,0,0,6,8,5,13.6,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Sim,Sim,Sim,11.1,0.6,2.02,17,4,Gestão,Diurno,Educação secundária,0,5,5,5,11.6,0,0,5,5,5,11.8,0,Graduado
Solteiro,Portuguesa,Não,Feminino,24,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Profissões das Forças Armadas,Não,Não,Sim,Não,11.1,0.6,2.02,39,1,Zootecnia,Diurno,Educação secundária,0,6,9,6,12.571428571428571,0,0,6,10,5,12.833333333333334,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,10.8,1.4,1.74,17,4,Educação Básica,Diurno,Educação secundária,0,6,7,5,11.8,0,0,6,7,5,11.4,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,9.4,-0.8,-3.12,1,3,Gestão,Diurno,Educação secundária,0,5,5,5,11.6,0,0,5,11,3,12.666666666666666,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,8.9,1.4,3.51,17,3,Serviço Social,Diurno,Educação secundária,0,6,8,6,11.333333333333334,0,0,6,6,6,11.833333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,7.6,2.6,0.32,1,1,Turismo,Diurno,Educação secundária,0,6,6,6,10.666666666666666,0,0,6,6,6,11.5,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,12.7,3.7,-1.7,1,2,Zootecnia,Diurno,Educação secundária,0,5,10,4,13.5,1,0,5,5,5,13.4,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Sim,10.8,1.4,1.74,1,1,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduado
Solteiro,Portuguesa,Não,Feminino,22,Não,Educação Superior - Mestrado,Educação Superior - Mestrado,Especialistas em Atividades Intelectuais e Científicas,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,13.9,-0.3,0.79,44,1,Enfermagem Veterinária,Diurno,Educação secundária,2,6,9,6,13.333333333333334,0,1,6,9,4,11.5,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Superior - Licenciatura,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Executivos","Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Gerentes Executivos",Não,Não,Sim,Não,10.8,1.4,1.74,1,1,Turismo,Diurno,Educação secundária,0,6,9,5,13.4,0,0,6,16,2,13.5,0,Matriculado
Viúvo,Portuguesa,Sim,Feminino,21,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,12.7,3.7,-1.7,17,1,Serviço Social,Diurno,Educação secundária,0,6,8,3,10.2,0,0,6,13,4,12.25,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,21,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,8.9,1.4,3.51,17,1,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,6,5,13.0,0,0,6,7,6,12.833333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,10.8,1.4,1.74,1,3,Enfermagem,Diurno,Educação secundária,0,8,11,7,12.90857142857143,0,0,8,11,7,12.90857142857143,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Secundária,Outro - 11º ano de escolaridade,Funcionários Administrativos,Trabalhadores Não Qualificados,Não,Não,Sim,Não,10.8,1.4,1.74,1,5,Educação Básica,Diurno,Educação secundária,0,6,12,4,12.0,0,0,6,11,1,10.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,7.6,2.6,0.32,1,3,Turismo,Diurno,Educação secundária,0,6,9,6,10.833333333333334,0,0,6,8,5,11.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Funcionários Administrativos,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Não,12.7,3.7,-1.7,16,3,Design de Comunicação,Diurno,Educação secundária,0,6,6,6,15.333333333333334,0,0,6,9,6,15.833333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,11.1,0.6,2.02,1,2,Enfermagem,Diurno,Educação secundária,0,7,9,6,12.816666666666668,0,0,8,11,6,12.875,0,Matriculado
Solteiro,Brasileira,Não,Masculino,26,Sim,Curso de estudos superiores especializados,Educação Secundária,Técnicos de Nível Intermediário e Profissões Técnicas,Pessoal Administrativo,Não,Sim,Não,Não,11.1,0.6,2.02,15,1,Gestão,Diurno,Educação secundária,6,7,7,6,13.0,0,2,6,6,2,14.0,0,Desistente
Solteiro,Turca,Não,Feminino,19,Sim,Educação Secundária,Educação Superior - Bacharel,"Operadores de Dados, Contabilidade, Estatística, Serviços Financeiros e de Registro",Vendedores,Não,Sim,Sim,Não,8.9,1.4,3.51,15,1,Engenharia da computação,Diurno,Educação secundária,0,6,11,2,13.5,1,0,5,11,2,11.0,0,Matriculado
Casado,Portuguesa,Não,Feminino,35,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,15.5,2.8,-4.06,39,1,Serviço Social (noturno),Noturno,Educação secundária,0,6,7,6,12.5,0,0,6,6,6,12.166666666666666,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Secundária,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,12.4,0.5,1.79,18,1,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,6,7,6,13.0,0,0,6,6,6,14.333333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,10.8,1.4,1.74,1,1,Enfermagem Veterinária,Diurno,Educação secundária,0,5,6,4,11.75,0,0,5,10,5,12.571428571428571,1,Graduado
Solteiro,Portuguesa,Não,Masculino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos",Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,7.6,2.6,0.32,1,5,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,5,5,4,12.5,0,0,5,5,4,14.25,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,25,Não,Educação Secundária,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,12.4,0.5,1.79,1,1,Animação e Design Multimídia,Diurno,Educação secundária,16,17,19,17,11.61111111111111,0,14,17,22,17,12.055555555555555,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,18,Não,Educação Secundária,Educação Secundária,Funcionários Administrativos,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,11.1,0.6,2.02,17,6,Turismo,Diurno,Educação secundária,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,26,Não,Educação Secundária,Educação Superior - Mestrado,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Sim,Não,Não,16.2,0.3,-0.92,17,1,Agronomia,Diurno,Educação secundária,0,6,8,0,0.0,0,0,6,10,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,34,Não,Educação Secundária,Educação Secundária,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,9.4,-0.8,-3.12,43,1,Gestão (noturno),Noturno,Educação secundária,0,5,5,5,13.8,0,0,5,6,5,13.833333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,18,Não,Educação Superior - Mestrado,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,Técnicos de Nível Intermediário e Profissões,Não,Não,Não,Não,12.7,3.7,-1.7,1,2,Turismo,Diurno,Educação secundária,0,5,6,0,0.0,0,0,5,5,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,18,Não,Educação Superior - Bacharel,9º ano de escolaridade - Não concluído,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Não,Não,9.4,-0.8,-3.12,1,1,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,18,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Sim,8.9,1.4,3.51,17,3,Engenharia da computação,Diurno,Educação secundária,0,5,9,4,12.25,0,0,5,9,3,12.333333333333334,0,Desistente
Solteiro,Portuguesa,Não,Masculino,20,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Pessoal Administrativo,Não,Não,Sim,Não,12.4,0.5,1.79,44,1,Agronomia,Diurno,Curso de especialização tecnológica,0,6,12,3,11.5,0,0,6,12,3,13.666666666666666,0,Desistente
Solteiro,Portuguesa,Não,Masculino,25,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,Pessoal Administrativo,Não,Não,Sim,Não,16.2,0.3,-0.92,44,1,Design de Comunicação,Diurno,Curso de especialização tecnológica,2,7,9,6,12.571428571428571,0,5,9,9,9,12.555555555555555,0,Graduado
Solteiro,Portuguesa,Não,Masculino,18,Não,Educação Superior - Licenciatura,Educação Secundária,Funcionários Administrativos,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Gerentes Executivos",Não,Não,Sim,Não,11.1,0.6,2.02,17,1,Zootecnia,Diurno,Educação secundária,0,6,9,6,12.0,0,0,6,10,5,12.166666666666666,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,15.5,2.8,-4.06,1,1,Agronomia,Diurno,Educação secundária,8,12,17,11,12.0,2,4,12,21,12,12.307692307692308,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,20,Não,Educação Secundária,Educação Secundária,Funcionários Administrativos,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Gerentes Executivos",Não,Não,Sim,Não,10.8,1.4,1.74,1,1,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,20,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,10.8,1.4,1.74,18,2,Serviço Social,Diurno,Educação secundária,1,7,9,6,12.0,0,2,6,6,6,11.166666666666666,0,Graduado
Solteiro,Portuguesa,Não,Masculino,20,Não,Educação Superior - Bacharel,Educação Secundária,Especialistas em Atividades Intelectuais e Científicas,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,7.6,2.6,0.32,1,1,Engenharia da computação,Diurno,Educação secundária,0,5,9,4,11.6,0,0,5,7,4,12.25,2,Matriculado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Secundária,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Funcionários Administrativos,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,11.1,0.6,2.02,1,2,Gestão,Diurno,Educação secundária,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Masculino,20,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,8.9,1.4,3.51,1,1,Gestão,Diurno,Educação secundária,0,5,9,5,12.0,0,0,5,9,4,13.0,0,Matriculado
Solteiro,Portuguesa,Sim,Masculino,18,Não,Educação Secundária,Educação Secundária,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,11.1,0.6,2.02,1,6,Enfermagem,Diurno,Educação secundária,0,7,8,6,13.976666666666668,0,0,8,12,6,12.041666666666666,1,Matriculado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Superior - Licenciatura,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Operadores de Dados, Contabilidade, Estatística, Serviços Financeiros e de Registro","Agricultores, criadores de animais, pescadores, caçadores e coletores, subsistência",Não,Não,Sim,Não,16.2,0.3,-0.92,1,1,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,6,10,4,12.5,0,0,6,12,1,10.0,3,Matriculado
Solteiro,Portuguesa,Sim,Masculino,20,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Não,Não,9.4,-0.8,-3.12,18,1,Gestão,Diurno,Educação secundária,0,5,5,0,0.0,0,0,5,0,0,0.0,0,Desistente
